pid,trust_tech,play_games,play_music,order,autonomy,auto_grouped,traj_err
8,6,2,2,dec,0.2,low,2.1496845443127577
9,6,2,4,inc,0.4,low,1.5730152928638501
9,6,2,4,inc,0.0,low,2.9384185055555623
9,6,2,4,inc,0.2,low,2.099357161964935
9,6,2,4,inc,0.6,high,0.9365862938082176
9,6,2,4,inc,0.8,high,0.5565549401284525
10,3,4,1,dec,0.4,low,1.504441428444825
10,3,4,1,dec,0.6,high,0.92458519392783
10,3,4,1,dec,0.8,high,0.5946340437056
10,3,4,1,dec,0.0,low,2.607232657580485
10,3,4,1,dec,0.2,low,2.254189439597272
11,5,6,3,inc,0.4,low,1.5075201024559
11,5,6,3,inc,0.0,low,3.1297499872504893
11,5,6,3,inc,0.2,low,1.7016509207017922
11,5,6,3,inc,0.6,high,0.9791194872053325
11,5,6,3,inc,0.8,high,0.47821805898729997
12,6,7,5,dec,0.4,low,1.442618994346005
12,6,7,5,dec,0.6,high,1.0055469490934825
12,6,7,5,dec,0.8,high,0.71637355969593
12,6,7,5,dec,0.0,low,2.96378240330162
12,6,7,5,dec,0.2,low,2.5833330926244646
13,7,7,2,inc,0.4,low,0.978881072549595
13,7,7,2,inc,0.0,low,2.5746166711156953
13,7,7,2,inc,0.2,low,1.9069058435871498
13,7,7,2,inc,0.6,high,1.2606456356395301
13,7,7,2,inc,0.8,high,0.42126145487852257
14,6,6,2,dec,0.4,low,2.0059128724690627
14,6,6,2,dec,0.6,high,1.4649978582200425
14,6,6,2,dec,0.8,high,0.790634153975615
14,6,6,2,dec,0.0,low,2.9828792136289177
14,6,6,2,dec,0.2,low,2.401888764264357
15,6,5,4,inc,0.4,low,1.0006748466800726
15,6,5,4,inc,0.0,low,1.4886253028882326
15,6,5,4,inc,0.2,low,1.070211145814615
15,6,5,4,inc,0.6,high,0.6892613132455875
15,6,5,4,inc,0.8,high,0.4609685760957626
16,5,1,1,dec,0.4,low,1.3838471676558202
16,5,1,1,dec,0.6,high,0.9660732229051475
16,5,1,1,dec,0.8,high,0.9749814376964274
16,5,1,1,dec,0.0,low,1.9169861488219273
16,5,1,1,dec,0.2,low,1.6291009625559298
17,5,5,1,inc,0.4,low,1.142611841721905
17,5,5,1,inc,0.0,low,2.1483142272175426
17,5,5,1,inc,0.2,low,1.7954490024798124
17,5,5,1,inc,0.6,high,1.0116362180181324
17,5,5,1,inc,0.8,high,0.464244924906595
18,3,6,1,dec,0.4,low,5.691949899034745
18,3,6,1,dec,0.6,high,0.9549088830422875
18,3,6,1,dec,0.8,high,0.46387279830671496
18,3,6,1,dec,0.0,low,3.4071902968596928
18,3,6,1,dec,0.2,low,2.9019970581437176
19,6,7,5,inc,0.4,low,1.0682951948470225
19,6,7,5,inc,0.0,low,1.78291790229621
19,6,7,5,inc,0.2,low,1.61746345663835
19,6,7,5,inc,0.6,high,0.91193660378303
19,6,7,5,inc,0.8,high,0.5984503445174449
20,6,1,2,dec,0.4,low,4.552236839609092
20,6,1,2,dec,0.6,high,1.07448866256037
20,6,1,2,dec,0.8,high,0.6176778883030375
20,6,1,2,dec,0.0,low,3.8184548887548297
20,6,1,2,dec,0.2,low,2.5534211134998004
21,7,6,1,inc,0.4,low,1.35656016214551
21,7,6,1,inc,0.0,low,2.14655979676272
21,7,6,1,inc,0.2,low,2.35155028151429
21,7,6,1,inc,0.6,high,0.9431758182828001
21,7,6,1,inc,0.8,high,0.57129974802053
22,5,1,1,dec,0.4,low,1.5979399874176303
22,5,1,1,dec,0.6,high,1.0756593770909948
22,5,1,1,dec,0.8,high,0.7149681809963375
22,5,1,1,dec,0.0,low,1.5430286183544175
22,5,1,1,dec,0.2,low,1.1833308713676223
23,5,5,4,inc,0.4,low,1.3068485756983375
23,5,5,4,inc,0.0,low,2.3940277862803274
23,5,5,4,inc,0.2,low,1.8750728527858502
23,5,5,4,inc,0.6,high,1.216107311219225
23,5,5,4,inc,0.8,high,0.7318519737903749
24,6,1,3,dec,0.4,low,2.09981400913042
24,6,1,3,dec,0.6,high,1.556605243917945
24,6,1,3,dec,0.8,high,1.0312434930508974
24,6,1,3,dec,0.0,low,2.3459414047968927
24,6,1,3,dec,0.2,low,2.84583041339336
