StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3_1,Q3_2,Q3_3,Q3_10,Q3_11,Q3_12,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q5_1,Q5_2
11/09/2023 16:16,11/09/2023 16:17,0,128.250.0.206,100,60,1,11/09/2023 16:17,R_1mR85JAIZX709VP,,,,,-37.8159,144.9669,anonymous,EN,P2,5,5,3,5,5,5,7,5,5,4,4,4,4,5,4,5,4
11/09/2023 16:22,11/09/2023 16:23,0,128.250.0.206,100,53,1,11/09/2023 16:23,R_1jdYxvcN79GNA1t,,,,,-37.8159,144.9669,anonymous,EN,P2,4,5,3,4,4,4,7,6,6,5,5,6,6,5,5,6,6
11/09/2023 17:14,11/09/2023 17:16,0,128.250.0.206,100,109,1,11/09/2023 17:16,R_1rqTQRVKqAdIgpa,,,,,-37.8159,144.9669,anonymous,EN,P3,3,12,8,12,10,19,8,6,7,4,8,8,4,5,6,1,10
11/09/2023 17:21,11/09/2023 17:22,0,128.250.0.206,100,74,1,11/09/2023 17:22,R_2VJy6fORQwbvNjO,,,,,-37.8159,144.9669,anonymous,EN,P3,5,9,8,10,9,16,10,7,7,5,8,7,7,6,7,1,10
11/09/2023 17:27,11/09/2023 17:28,0,128.250.0.206,100,55,1,11/09/2023 17:28,R_30ejExVYY10J3mO,,,,,-37.8159,144.9669,anonymous,EN,P3,4,8,7,9,6,16,8,7,7,7,6,8,7,7,7,1,10
11/09/2023 17:32,11/09/2023 17:33,0,128.250.0.206,100,53,1,11/09/2023 17:33,R_D778LzcEfXnjAnD,,,,,-37.8159,144.9669,anonymous,EN,P3,2,7,5,10,4,10,14,8,8,7,8,8,8,8,8,6,10
11/09/2023 17:37,11/09/2023 17:38,0,128.250.0.206,100,43,1,11/09/2023 17:38,R_3JwlwEgd6IyRPYF,,,,,-37.8159,144.9669,anonymous,EN,P3,1,2,4,5,2,5,16,8,8,8,8,8,8,8,8,7,10
11/09/2023 18:36,11/09/2023 18:40,0,128.250.0.206,100,188,1,11/09/2023 18:40,R_2WN223j7d0KdG68,,,,,-37.8159,144.9669,anonymous,EN,P4,3,8,3,7,5,12,10,7,8,5,8,8,8,6,8,9,8
11/09/2023 18:44,11/09/2023 18:45,0,128.250.0.206,100,64,1,11/09/2023 18:45,R_28BDmzDYdIN6Esa,,,,,-37.8159,144.9669,anonymous,EN,P4,2,6,2,4,2,8,15,8,8,5,7,8,8,7,8,9,8
11/09/2023 18:50,11/09/2023 18:52,0,128.250.0.206,100,94,1,11/09/2023 18:52,R_pQqyi66oCyZMmaJ,,,,,-37.8159,144.9669,anonymous,EN,P4,1,7,3,4,5,17,13,7,8,8,8,7,6,8,8,8,8
11/09/2023 18:57,11/09/2023 18:58,0,128.250.0.206,100,63,1,11/09/2023 18:58,R_Y08IKFshjrAz99D,,,,,-37.8159,144.9669,anonymous,EN,P4,5,8,5,14,6,16,8,6,6,5,7,6,6,6,8,7,10
11/09/2023 19:02,11/09/2023 19:04,0,128.250.0.206,100,115,1,11/09/2023 19:04,R_2P88adllN6dqsgJ,,,,,-37.8159,144.9669,anonymous,EN,P4,4,10,2,11,3,10,8,7,7,6,5,8,8,8,8,8,7
12/09/2023 9:23,12/09/2023 9:25,0,128.250.0.206,100,150,1,12/09/2023 9:25,R_1DqWxMkWjbaVSPs,,,,,-37.8159,144.9669,anonymous,EN,P5,3,,,,,5,5,1,1,1,1,1,1,1,1,9,3
12/09/2023 9:30,12/09/2023 9:31,0,128.250.0.206,100,55,1,12/09/2023 9:31,R_3Eu9TBkc8IL0nwz,,,,,-37.8159,144.9669,anonymous,EN,P5,5,,,,,5,5,1,1,1,1,1,1,1,1,1,1
12/09/2023 9:35,12/09/2023 9:36,0,128.250.0.206,100,56,1,12/09/2023 9:36,R_SQ8XBLIHn2ioow1,,,,,-37.8159,144.9669,anonymous,EN,P5,4,,,,,6,6,1,1,1,1,1,1,1,1,1,1
12/09/2023 9:41,12/09/2023 9:43,0,128.250.0.206,100,74,1,12/09/2023 9:43,R_2E3Pvy1Vx9k7qIF,,,,,-37.8159,144.9669,anonymous,EN,P5,2,,,,,10,10,6,6,6,6,6,6,6,6,9,7
12/09/2023 9:47,12/09/2023 9:48,0,128.250.0.206,100,63,1,12/09/2023 9:48,R_DJlb4Vxtkn89TZ7,,,,,-37.8159,144.9669,anonymous,EN,P5,1,,3,,,5,10,7,7,7,7,7,7,7,7,6,9
12/09/2023 10:58,12/09/2023 11:03,0,128.250.0.206,100,303,1,12/09/2023 11:04,R_1FtaTDDr5cWLtW1,,,,,-37.8159,144.9669,anonymous,EN,P6,3,10,12,17,15,18,5,1,1,2,1,2,2,1,2,1,1
12/09/2023 11:08,12/09/2023 11:10,0,128.250.0.206,100,118,1,12/09/2023 11:10,R_eLggtZCt7uPZIVX,,,,,-37.8159,144.9669,anonymous,EN,P6,2,7,7,12,13,12,10,3,3,4,3,2,3,4,3,3,3
12/09/2023 11:14,12/09/2023 11:16,0,128.250.0.206,100,106,1,12/09/2023 11:16,R_3huNwZX6EHesw3M,,,,,-37.8159,144.9669,anonymous,EN,P6,1,6,5,8,6,7,15,5,6,6,6,5,5,6,6,6,5
12/09/2023 11:20,12/09/2023 11:22,0,128.250.0.206,100,118,1,12/09/2023 11:22,R_1pSEeL64SCETxx0,,,,,-37.8159,144.9669,anonymous,EN,P6,5,14,11,16,17,15,4,1,1,8,1,8,8,1,8,1,1
12/09/2023 11:26,12/09/2023 11:28,0,128.250.0.206,100,90,1,12/09/2023 11:28,R_Y9ugEQm4xSMyhUZ,,,,,-37.8159,144.9669,anonymous,EN,P6,4,10,8,11,12,11,11,3,3,4,,4,3,3,4,4,3
12/09/2023 12:19,12/09/2023 12:21,0,128.250.0.206,100,97,1,12/09/2023 12:21,R_Diqh2mPw1XbclsR,,,,,-37.8159,144.9669,anonymous,EN,P7,3,4,2,10,15,13,4,3,7,6,5,1,3,6,4,3,1
12/09/2023 12:25,12/09/2023 12:26,0,128.250.0.206,100,71,1,12/09/2023 12:26,R_1LBzg4QqvfumXYH,,,,,-37.8159,144.9669,anonymous,EN,P7,5,8,6,10,8,12,8,4,6,6,4,1,4,4,4,4,4
12/09/2023 12:31,12/09/2023 12:31,0,128.250.0.206,100,52,1,12/09/2023 12:31,R_2arWlhUWxAkwh5Z,,,,,-37.8159,144.9669,anonymous,EN,P7,4,3,6,7,5,9,12,5,6,6,5,3,4,5,4,7,5
12/09/2023 12:36,12/09/2023 12:36,0,128.250.0.206,100,50,1,12/09/2023 12:36,R_1q4gTjNpRaARKDX,,,,,-37.8159,144.9669,anonymous,EN,P7,2,3,4,6,4,6,15,6,7,7,6,4,5,6,5,8,6
12/09/2023 12:40,12/09/2023 12:41,0,128.250.0.206,100,59,1,12/09/2023 12:41,R_3Rh1DtiZRp82b0F,,,,,-37.8159,144.9669,anonymous,EN,P7,1,2,3,4,3,6,18,8,7,7,6,5,6,7,6,9,7
12/09/2023 14:12,12/09/2023 14:15,0,128.250.0.206,100,182,1,12/09/2023 14:15,R_3gTt6q3Q1fa3p3J,,,,,-37.8159,144.9669,anonymous,EN,P8,3,5,,5,,3,17,8,8,8,8,8,8,8,8,1,8
12/09/2023 14:20,12/09/2023 14:22,0,128.250.0.206,100,63,1,12/09/2023 14:22,R_2Ua15wNUDHDBVbm,,,,,-37.8159,144.9669,anonymous,EN,P8,2,3,,,,5,15,8,8,8,8,8,8,8,8,1,9
12/09/2023 14:26,12/09/2023 14:26,0,128.250.0.206,100,37,1,12/09/2023 14:26,R_1diXAqRoh957JQP,,,,,-37.8159,144.9669,anonymous,EN,P8,1,3,,,,,15,8,8,8,8,8,8,8,8,1,9
12/09/2023 14:31,12/09/2023 14:32,0,128.250.0.206,100,40,1,12/09/2023 14:32,R_1ohGNHHs6r1eMiK,,,,,-37.8159,144.9669,anonymous,EN,P8,5,3,,,,3,14,8,8,8,8,8,8,8,8,1,9
12/09/2023 14:35,12/09/2023 14:36,0,128.250.0.206,100,40,1,12/09/2023 14:36,R_U9Jdreb32wStSxP,,,,,-37.8159,144.9669,anonymous,EN,P8,4,3,,,,3,15,8,8,8,8,8,8,8,8,1,9
12/09/2023 15:54,12/09/2023 15:56,0,128.250.0.206,100,92,1,12/09/2023 15:56,R_1eOYbl1y6ZLIOmH,,,,,-37.8159,144.9669,anonymous,EN,P9,3,1,1,2,1,2,10,8,7,7,6,6,7,8,8,3,10
12/09/2023 16:01,12/09/2023 16:02,0,128.250.0.206,100,78,1,12/09/2023 16:02,R_1NE33fAEBgMyXBW,,,,,-37.8159,144.9669,anonymous,EN,P9,5,3,1,6,4,10,7,5,4,8,6,7,6,3,8,7,5
12/09/2023 16:06,12/09/2023 16:07,0,128.250.0.206,100,81,1,12/09/2023 16:07,R_da0RiadYFUcot3j,,,,,-37.8159,144.9669,anonymous,EN,P9,4,2,2,4,3,6,8,5,4,5,6,5,6,4,6,3,6
12/09/2023 16:12,12/09/2023 16:13,0,128.250.0.206,100,54,1,12/09/2023 16:13,R_3F4N8hQSpRizf0K,,,,,-37.8159,144.9669,anonymous,EN,P9,2,1,1,2,2,1,19,8,7,3,8,8,7,8,4,9,10
12/09/2023 16:17,12/09/2023 16:17,0,128.250.0.206,100,47,1,12/09/2023 16:17,R_2f6TdZT9oB8QM1q,,,,,-37.8159,144.9669,anonymous,EN,P9,1,1,1,1,1,1,20,7,8,8,7,8,7,7,6,7,8
12/09/2023 17:28,12/09/2023 17:32,0,128.250.0.206,100,236,1,12/09/2023 17:32,R_1QL6nmEyxTEm09v,,,,,-37.8159,144.9669,anonymous,EN,P10,3,9,12,9,5,9,15,4,5,5,4,4,4,4,4,3,3
12/09/2023 17:36,12/09/2023 17:39,0,128.250.0.206,100,127,1,12/09/2023 17:39,R_27HBJYEbNsFOgsc,,,,,-37.8159,144.9669,anonymous,EN,P10,2,4,4,4,3,4,16,7,6,5,7,5,6,6,6,7,6
12/09/2023 17:43,12/09/2023 17:44,0,128.250.0.206,100,105,1,12/09/2023 17:44,R_2arC6ndO2xyaAqD,,,,,-37.8159,144.9669,anonymous,EN,P10,1,4,5,5,5,4,15,7,7,7,7,6,7,7,7,8,7
12/09/2023 17:48,12/09/2023 17:51,0,128.250.0.206,100,175,1,12/09/2023 17:51,R_2qqLc3gmOI25WKv,,,,,-37.8159,144.9669,anonymous,EN,P10,5,13,10,12,11,11,11,4,4,3,3,2,3,4,4,4,3
12/09/2023 17:55,12/09/2023 17:57,0,128.250.0.206,100,110,1,12/09/2023 17:57,R_2AWHX65wB7HIHnb,,,,,-37.8159,144.9669,anonymous,EN,P10,4,6,6,4,4,4,14,6,6,6,5,5,6,6,6,6,6
12/09/2023 18:57,12/09/2023 18:58,0,128.250.0.206,100,92,1,12/09/2023 18:58,R_3Lju3gEkmPGKO2j,,,,,-37.8159,144.9669,anonymous,EN,P11,3,10,,6,4,4,13,4,5,5,5,5,5,5,4,5,4
12/09/2023 19:02,12/09/2023 19:03,0,128.250.0.206,100,62,1,12/09/2023 19:03,R_3dQUwLsEGwvDWB4,,,,,-37.8159,144.9669,anonymous,EN,P11,5,12,10,8,4,6,13,4,3,4,3,3,3,4,3,3,3
12/09/2023 19:07,12/09/2023 19:08,0,128.250.0.206,100,54,1,12/09/2023 19:08,R_Rmkk7257QYcmRUd,,,,,-37.8159,144.9669,anonymous,EN,P11,4,12,10,5,4,6,15,5,5,5,5,4,5,6,5,6,5
12/09/2023 19:12,12/09/2023 19:13,0,128.250.0.206,100,48,1,12/09/2023 19:13,R_yPWLfxTv1Y7zCSZ,,,,,-37.8159,144.9669,anonymous,EN,P11,2,10,8,3,4,5,14,6,7,7,7,7,6,7,6,8,7
12/09/2023 19:17,12/09/2023 19:18,0,128.250.0.206,100,43,1,12/09/2023 19:18,R_3hDZKbiWBWVndcL,,,,,-37.8159,144.9669,anonymous,EN,P11,1,11,8,6,5,5,12,7,7,7,6,7,6,6,6,8,7
13/09/2023 9:16,13/09/2023 9:17,0,128.250.0.206,100,81,1,13/09/2023 9:17,R_1ojOgQ4ZuwVnYCD,,,,,-37.8159,144.9669,anonymous,EN,P12,3,3,1,5,2,2,9,4,4,5,4,4,4,4,4,5,5
13/09/2023 9:22,13/09/2023 9:23,0,128.250.0.206,100,51,1,13/09/2023 9:23,R_1M5tFtNNBd4BA5Z,,,,,-37.8159,144.9669,anonymous,EN,P12,2,2,1,2,1,2,10,6,6,6,6,6,6,6,6,7,8
13/09/2023 9:27,13/09/2023 9:28,0,128.250.0.206,100,57,1,13/09/2023 9:28,R_2CDo6oNQcdDQc58,,,,,-37.8159,144.9669,anonymous,EN,P12,1,2,1,2,1,2,9,6,6,6,6,6,6,6,6,7,7
13/09/2023 9:32,13/09/2023 9:33,0,128.250.0.206,100,53,1,13/09/2023 9:33,R_2bJlijd8G0rgWEt,,,,,-37.8159,144.9669,anonymous,EN,P12,5,3,1,2,3,3,3,2,2,3,2,2,2,2,2,1,1
13/09/2023 9:37,13/09/2023 9:38,0,128.250.0.206,100,50,1,13/09/2023 9:38,R_3KDcCriD24kqia3,,,,,-37.8159,144.9669,anonymous,EN,P12,4,2,1,1,3,3,3,3,3,3,3,3,3,3,3,2,1
13/09/2023 11:00,13/09/2023 11:03,0,128.250.0.206,100,210,1,13/09/2023 11:03,R_3QRd9JAIVqnOYjj,,,,,-37.8159,144.9669,anonymous,EN,P13,3,5,3,3,1,3,16,6,6,6,6,6,6,6,6,5,6
13/09/2023 11:08,13/09/2023 11:10,0,128.250.0.206,100,129,1,13/09/2023 11:10,R_w4Cf7WUYrDgcprj,,,,,-37.8159,144.9669,anonymous,EN,P13,5,5,3,3,1,10,10,3,3,4,3,2,3,5,4,2,3
13/09/2023 11:14,13/09/2023 11:15,0,128.250.0.206,100,83,1,13/09/2023 11:15,R_1JVp4THDHam8MjZ,,,,,-37.8159,144.9669,anonymous,EN,P13,4,5,3,3,1,7,14,4,4,5,4,4,4,6,5,3,4
13/09/2023 11:19,13/09/2023 11:21,0,128.250.0.206,100,89,1,13/09/2023 11:21,R_22EytYm3APlnsRs,,,,,-37.8159,144.9669,anonymous,EN,P13,2,5,3,3,1,8,15,5,5,6,6,5,5,6,6,6,6
13/09/2023 11:25,13/09/2023 11:26,0,128.250.0.206,100,59,1,13/09/2023 11:26,R_2f9jUCu87tJGhfW,,,,,-37.8159,144.9669,anonymous,EN,P13,1,3,3,3,1,5,19,7,7,7,7,7,7,7,7,8,8
13/09/2023 12:23,13/09/2023 12:25,0,128.250.0.206,100,122,1,13/09/2023 12:25,R_2zHemVt52khP8HR,,,,,-37.8159,144.9669,anonymous,EN,P14,3,3,6,10,6,11,12,6,6,6,6,6,6,6,6,5,4
13/09/2023 12:29,13/09/2023 12:30,0,128.250.0.206,100,73,1,13/09/2023 12:30,R_1K9M9XVrrLAfMcx,,,,,-37.8159,144.9669,anonymous,EN,P14,2,3,6,7,5,10,14,7,7,7,7,7,7,7,7,7,8
13/09/2023 12:34,13/09/2023 12:35,0,128.250.0.206,100,64,1,13/09/2023 12:35,R_3ltOrJ0RFXeFThN,,,,,-37.8159,144.9669,anonymous,EN,P14,1,3,5,4,5,7,17,8,8,7,8,8,8,7,7,9,8
13/09/2023 12:39,13/09/2023 12:40,0,128.250.0.206,100,74,1,13/09/2023 12:40,R_W6t4qwMrnyZnEUV,,,,,-37.8159,144.9669,anonymous,EN,P14,5,6,8,12,12,14,10,4,3,2,3,3,2,3,3,2,2
13/09/2023 12:45,13/09/2023 12:46,0,128.250.0.206,100,68,1,13/09/2023 12:46,R_1diReiyrIvNA3HJ,,,,,-37.8159,144.9669,anonymous,EN,P14,4,3,5,5,9,9,14,6,6,5,6,6,6,5,6,6,5
13/09/2023 14:25,13/09/2023 14:28,0,128.250.0.206,100,155,1,13/09/2023 14:28,R_2wSuaSmxti273dK,,,,,-37.8159,144.9669,anonymous,EN,P15,3,2,2,4,3,4,16,6,5,6,5,4,5,7,6,3,4
13/09/2023 14:32,13/09/2023 14:34,0,128.250.0.206,100,95,1,13/09/2023 14:34,R_3ReZL5OQeEFovP5,,,,,-37.8159,144.9669,anonymous,EN,P15,5,5,5,6,3,7,15,4,4,4,4,3,4,5,5,3,3
13/09/2023 14:38,13/09/2023 14:39,0,128.250.0.206,100,76,1,13/09/2023 14:39,R_2z5Po5nGUyRKz2w,,,,,-37.8159,144.9669,anonymous,EN,P15,4,2,3,3,2,3,17,6,5,6,6,5,5,7,7,5,5
13/09/2023 14:43,13/09/2023 14:44,0,128.250.0.206,100,70,1,13/09/2023 14:44,R_3p5a9r94NjbN4CN,,,,,-37.8159,144.9669,anonymous,EN,P15,2,2,2,2,2,2,19,7,7,7,7,6,6,7,7,7,6
13/09/2023 14:48,13/09/2023 14:50,0,128.250.0.206,100,73,1,13/09/2023 14:50,R_2qg9hZEHgrJHHC5,,,,,-37.8159,144.9669,anonymous,EN,P15,1,,2,,1,,20,7,7,8,8,7,7,8,8,8,7
13/09/2023 15:51,13/09/2023 15:52,0,128.250.0.206,100,87,1,13/09/2023 15:52,R_3EsRcyHkuXrVUhJ,,,,,-37.8159,144.9669,anonymous,EN,P16,3,3,4,8,2,8,7,5,6,4,6,5,6,7,7,6,6
13/09/2023 15:57,13/09/2023 15:58,0,128.250.0.206,100,57,1,13/09/2023 15:58,R_2uWFH4096xOL0Ib,,,,,-37.8159,144.9669,anonymous,EN,P16,2,2,1,3,1,2,14,7,7,8,8,7,8,8,8,8,9
13/09/2023 16:02,13/09/2023 16:03,0,128.250.0.206,100,60,1,13/09/2023 16:03,R_3e1YCIccTWavSrS,,,,,-37.8159,144.9669,anonymous,EN,P16,1,,,2,1,2,15,8,8,8,8,7,8,8,8,9,8
13/09/2023 16:07,13/09/2023 16:08,0,128.250.0.206,100,62,1,13/09/2023 16:08,R_265x6jqacJv0clO,,,,,-37.8159,144.9669,anonymous,EN,P16,5,4,4,4,7,10,6,4,5,3,4,3,3,3,2,2,3
13/09/2023 16:12,13/09/2023 16:13,0,128.250.0.206,100,62,1,13/09/2023 16:13,R_1DGRH5mxfkYy0ZT,,,,,-37.8159,144.9669,anonymous,EN,P16,4,3,2,4,3,5,7,5,6,4,6,5,6,5,4,7,6
13/09/2023 17:12,13/09/2023 17:14,0,128.250.0.206,100,95,1,13/09/2023 17:14,R_1jP2VGyIwyJMnhk,,,,,-37.8159,144.9669,anonymous,EN,P17,3,13,,3,7,10,12,4,6,5,8,8,4,5,8,3,10
13/09/2023 17:18,13/09/2023 17:20,0,128.250.0.206,100,85,1,13/09/2023 17:20,R_234cyTjl54jxf2b,,,,,-37.8159,144.9669,anonymous,EN,P17,5,14,1,5,8,10,8,4,6,4,8,8,6,3,8,5,8
13/09/2023 17:24,13/09/2023 17:25,0,128.250.0.206,100,71,1,13/09/2023 17:25,R_QaFSiUVPrRoHfPz,,,,,-37.8159,144.9669,anonymous,EN,P17,4,15,1,5,9,12,10,5,6,5,3,8,5,3,3,6,7
13/09/2023 17:29,13/09/2023 17:30,0,128.250.0.206,100,60,1,13/09/2023 17:30,R_3dRGhRWYt9Eh8zC,,,,,-37.8159,144.9669,anonymous,EN,P17,2,11,1,4,8,9,12,7,7,6,7,5,6,5,5,9,9
13/09/2023 17:34,13/09/2023 17:35,0,128.250.0.206,100,57,1,13/09/2023 17:35,R_3hAsPBdHFDDZdtK,,,,,-37.8159,144.9669,anonymous,EN,P17,1,7,1,4,7,7,15,7,8,7,8,6,7,7,7,10,9
13/09/2023 18:27,13/09/2023 18:30,0,128.250.0.206,100,172,1,13/09/2023 18:30,R_85QHcEowZHnroaZ,,,,,-37.8159,144.9669,anonymous,EN,P18,3,11,3,15,10,17,14,4,4,8,3,2,3,3,2,2,3
13/09/2023 18:34,13/09/2023 18:36,0,128.250.0.206,100,95,1,13/09/2023 18:36,R_2Beqo5pakBAWXrL,,,,,-37.8159,144.9669,anonymous,EN,P18,2,6,3,10,4,5,15,6,6,6,6,6,6,5,6,7,7
13/09/2023 18:40,13/09/2023 18:41,0,128.250.0.206,100,76,1,13/09/2023 18:41,R_2AFo4wFJI0AlDQ0,,,,,-37.8159,144.9669,anonymous,EN,P18,1,7,7,9,6,6,18,7,7,6,7,7,7,6,7,8,8
13/09/2023 18:45,13/09/2023 18:47,0,128.250.0.206,100,86,1,13/09/2023 18:47,R_1ih6ZAVJfwmdKy7,,,,,-37.8159,144.9669,anonymous,EN,P18,5,7,4,10,6,14,14,5,6,6,6,6,6,6,5,2,3
13/09/2023 18:50,13/09/2023 18:52,0,128.250.0.206,100,75,1,13/09/2023 18:52,R_1LNLNFcLfnFKDWQ,,,,,-37.8159,144.9669,anonymous,EN,P18,4,7,4,10,6,11,16,5,5,6,6,5,5,4,4,4,5
14/09/2023 9:33,14/09/2023 9:34,0,128.250.0.206,100,64,1,14/09/2023 9:34,R_2EpfjhnplLkr0MG,,,,,-37.8159,144.9669,anonymous,EN,P19,3,11,6,9,3,5,15,7,6,7,6,3,4,6,6,2,4
14/09/2023 9:39,14/09/2023 9:40,0,128.250.0.206,100,52,1,14/09/2023 9:40,R_1hQiAoBbN2MwTTy,,,,,-37.8159,144.9669,anonymous,EN,P19,5,10,7,10,3,7,15,6,6,6,6,4,7,7,6,4,4
14/09/2023 9:44,14/09/2023 9:45,0,128.250.0.206,100,46,1,14/09/2023 9:45,R_2rl8FqtxmjwRhXF,,,,,-37.8159,144.9669,anonymous,EN,P19,4,7,5,6,3,5,17,6,6,6,7,5,7,7,6,5,4
14/09/2023 9:50,14/09/2023 9:51,0,128.250.0.206,100,49,1,14/09/2023 9:51,R_2aRovToKEAUZP3G,,,,,-37.8159,144.9669,anonymous,EN,P19,2,5,4,7,3,2,18,7,7,5,6,6,7,6,7,6,3
14/09/2023 9:55,14/09/2023 9:55,0,128.250.0.206,100,34,1,14/09/2023 9:55,R_2qwSHjb3sKJ2BXE,,,,,-37.8159,144.9669,anonymous,EN,P19,1,3,2,4,2,2,18,7,8,7,7,6,7,8,7,8,4
14/09/2023 11:02,14/09/2023 11:05,0,128.250.0.206,100,160,1,14/09/2023 11:05,R_2ASGf0aAxxjMx7c,,,,,-37.8159,144.9669,anonymous,EN,P20,3,6,,9,11,7,7,2,3,3,3,3,2,2,2,1,1
14/09/2023 11:09,14/09/2023 11:11,0,128.250.0.206,100,110,1,14/09/2023 11:11,R_2OMRCZe2bP5SqQz,,,,,-37.8159,144.9669,anonymous,EN,P20,2,6,6,6,7,6,10,3,3,3,2,3,4,2,2,3,3
14/09/2023 11:18,14/09/2023 11:19,0,128.250.0.206,100,85,1,14/09/2023 11:19,R_1mWT1xbbpTr9naQ,,,,,-37.8159,144.9669,anonymous,EN,P20,1,4,4,6,6,5,11,4,3,4,4,3,4,3,4,4,3
14/09/2023 11:25,14/09/2023 11:27,0,128.250.0.206,100,86,1,14/09/2023 11:27,R_2CJILO3fGgOgk7K,,,,,-37.8159,144.9669,anonymous,EN,P20,5,7,6,7,10,12,6,2,2,2,2,1,1,2,1,1,1
